,1696063983.2686644,bytearray(b'g\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'Q\x07\xa6\x05\t\x00Q\x02'),bytearray(b'\t\x00\xe6\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063984.242049,bytearray(b'\x02\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\x07\x07\xa6\x05\t\x00G\x02'),bytearray(b'\t\x00\xc8\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.2658134,bytearray(b'\xf1\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdf\x04l\x03\x00\xff'),bytearray(b'\x07\x07\xa6\x05\t\x00G\x02'),bytearray(b'\t\x00\xc8\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.2889795,bytearray(b'\xf1\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdf\x04l\x03\x00\xff'),bytearray(b'\x07\x07\xa6\x05\t\x00G\x02'),bytearray(b'\t\x00\xc8\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.312006,bytearray(b'\xf7\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\x07\x05l\x03\x00\xff'),bytearray(b'\x07\x07\xa6\x05\t\x00G\x02'),bytearray(b'\t\x00\xc8\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.335813,bytearray(b'\xf7\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\x07\x05l\x03\x00\xff'),bytearray(b'=\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xc7\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.3599048,bytearray(b'7\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdd\x04l\x03\x00\xff'),bytearray(b'=\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xc7\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.3834436,bytearray(b'7\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdd\x04l\x03\x00\xff'),bytearray(b'=\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xc7\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.406443,bytearray(b'~\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xed\x04l\x03\x00\xff'),bytearray(b'=\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xc7\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.4299986,bytearray(b'~\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xed\x04l\x03\x00\xff'),bytearray(b'\x15\x07\xa7\x05\t\x00H\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.4540477,bytearray(b'\x00\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xed\x04l\x03\x00\xff'),bytearray(b'\x15\x07\xa7\x05\t\x00H\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.4818811,bytearray(b'\x00\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe5\x04l\x03\x00\xff'),bytearray(b'\x15\x07\xa7\x05\t\x00H\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.5061805,bytearray(b'\x87\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xe8\x04l\x03\x00\xff'),bytearray(b'\x15\x07\xa7\x05\t\x00H\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.5297346,bytearray(b'\x87\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xe8\x04l\x03\x00\xff'),bytearray(b'K\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.5541031,bytearray(b'\xfe\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe8\x04l\x03\x00\xff'),bytearray(b'K\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.578334,bytearray(b'\xfe\x07\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'K\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.6013885,bytearray(b'\x07\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'K\x07\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.6248803,bytearray(b'\x07\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe7\x04l\x03\x00\xff'),bytearray(b'*\x07\xa6\x05\t\x00I\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.6487305,bytearray(b'r\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xe7\x04l\x03\x00\xff'),bytearray(b'*\x07\xa6\x05\t\x00I\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.6726596,bytearray(b'r\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xf4\x04l\x03\x00\xff'),bytearray(b'*\x07\xa6\x05\t\x00I\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.6965623,bytearray(b'\x16\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xf4\x04l\x03\x00\xff'),bytearray(b'*\x07\xa6\x05\t\x00I\x02'),bytearray(b'\t\x00\xc9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
